time,side,price
0,sell,100.74835707650561
1,buy,99.67922492592002
1,buy,99.67922492592002
2,buy,99.67247631355106
2,buy,99.67247631355106
3,sell,100.1436208490731
3,sell,100.1436208490731
3,buy,99.1436208490731
4,buy,100.04076127057739
5,sell,101.33110604144241
6,buy,99.99807573132719
6,buy,99.99807573132719
6,buy,99.99807573132719
7,buy,99.74118198557306
7,sell,100.74118198557306
7,sell,100.74118198557306
8,sell,100.38103298914366
8,sell,100.38103298914366
8,buy,99.38103298914366
9,buy,99.24606610460582
9,sell,100.24606610460582
10,sell,101.38273868361456
10,buy,100.38273868361456
10,sell,101.38273868361456
11,buy,100.45622600884317
11,sell,101.45622600884317
12,buy,99.67594747262454
12,sell,100.67594747262454
12,sell,100.67594747262454
13,buy,100.67612151717759
14,buy,100.76804927438238
14,buy,100.76804927438238
14,sell,101.76804927438238
14,sell,101.76804927438238
15,buy,101.05699784193179
15,buy,101.05699784193179
15,buy,101.05699784193179
16,buy,100.81378145890561
16,sell,101.81378145890561
17,sell,101.91758058954846
17,sell,101.91758058954846
17,buy,100.91758058954846
17,sell,101.91758058954846
18,buy,100.19725422014506
21,buy,100.39046531499339
24,sell,101.67361908638132
24,sell,101.67361908638132
24,sell,101.67361908638132
24,sell,101.67361908638132
24,buy,100.67361908638132
25,sell,101.46060291709911
25,sell,101.46060291709911
25,sell,101.46060291709911
26,sell,100.38767453717414
26,buy,99.38767453717414
26,sell,100.38767453717414
28,sell,100.32085872044863
28,buy,99.32085872044863
28,buy,99.32085872044863
28,sell,100.32085872044863
29,buy,98.78008471864143
29,sell,99.78008471864143
30,buy,98.91996339353479
31,sell,98.54948597130493
32,sell,98.89146679004216
32,buy,97.89146679004216
32,sell,98.89146679004216
33,buy,97.8192047473652
33,sell,98.8192047473652
36,sell,98.60931555755784
36,buy,97.60931555755784
37,sell,98.87129189111174
37,sell,98.87129189111174
37,sell,98.87129189111174
38,sell,98.18994008934175
38,buy,97.18994008934175
38,buy,97.18994008934175
38,sell,98.18994008934175
40,sell,97.57873237291112
40,buy,96.57873237291112
40,buy,96.57873237291112
41,buy,96.81212364804355
41,sell,97.81212364804355
41,sell,97.81212364804355
42,sell,97.99792056328681
42,sell,97.99792056328681
43,sell,97.9387216130137
44,sell,97.92122736776521
45,buy,97.80662768558297
46,buy,97.2853852484694
46,sell,98.2853852484694
47,sell,98.92434866308848
47,sell,98.92434866308848
47,buy,97.92434866308848
47,buy,97.92434866308848
47,buy,97.92434866308848
47,sell,98.92434866308848
48,sell,99.63460078708341
48,buy,98.63460078708341
49,buy,98.34922764020868
50,sell,98.76477950733782
50,buy,97.76477950733782
50,sell,98.76477950733782
51,buy,97.39352233190935
51,sell,98.39352233190935
52,sell,99.17628434652653
52,sell,99.17628434652653
52,buy,98.17628434652653
53,sell,99.14340921599003
53,buy,98.14340921599003
53,buy,98.14340921599003
53,buy,98.14340921599003
53,buy,98.14340921599003
53,buy,98.14340921599003
53,sell,99.14340921599003
54,buy,98.89510836687361
55,buy,99.33378951216145
55,buy,99.33378951216145
55,buy,99.33378951216145
56,sell,100.39105619526917
56,sell,100.39105619526917
56,sell,100.39105619526917
57,sell,100.86612893076858
57,sell,100.86612893076858
57,buy,99.86612893076858
57,buy,99.86612893076858
58,buy,100.44051178095464
58,buy,100.44051178095464
58,buy,100.44051178095464
58,sell,101.44051178095464
59,buy,99.57065489156558
59,sell,100.57065489156558
59,sell,100.57065489156558
59,sell,100.57065489156558
59,sell,100.57065489156558
60,sell,100.87065199552801
60,buy,99.87065199552801
61,sell,100.46561545342327
61,sell,100.46561545342327
61,buy,99.46561545342327
62,buy,98.73107567310517
62,buy,98.73107567310517
64,buy,98.23305194479661
64,buy,98.23305194479661
64,buy,98.23305194479661
65,buy,97.52829628606001
65,sell,98.52829628606001
65,sell,98.52829628606001
66,sell,98.43565245662116
66,buy,97.43565245662116
67,buy,97.37074210675445
68,buy,97.1811782362607
69,buy,97.07938805620952
70,buy,96.62190852231818
70,sell,97.62190852231818
70,buy,96.62190852231818
71,sell,97.6625469437017
71,sell,97.6625469437017
71,buy,96.6625469437017
72,buy,96.40441893573313
72,buy,96.40441893573313
73,sell,97.87030698443749
74,sell,97.18686763522977
75,buy,96.07448493428343
76,sell,97.22020989588934
78,buy,95.86975854560475
79,buy,95.44576860677708
80,sell,96.39858273175939
80,sell,96.39858273175939
80,sell,96.39858273175939
80,buy,95.39858273175939
81,buy,95.35563610690049
81,sell,96.35563610690049
82,buy,95.44619436200603
84,buy,94.40163919793463
85,buy,94.57596137010174
85,sell,95.57596137010174
85,sell,95.57596137010174
85,buy,94.57596137010174
85,sell,95.57596137010174
86,buy,95.10249008660942
86,sell,96.10249008660942
87,sell,97.11914273591115
88,buy,95.5714699539827
88,buy,95.5714699539827
89,buy,95.46260446173848
90,sell,96.98179883960579
90,sell,96.98179883960579
90,buy,95.98179883960579
91,buy,96.23451088621414
91,buy,96.23451088621414
92,buy,96.15181137714238
92,sell,97.15181137714238
94,buy,96.34323003057705
94,buy,96.34323003057705
95,buy,96.59513923979713
95,buy,96.59513923979713
95,buy,96.59513923979713
95,sell,97.59513923979713
96,buy,96.32715751724011
96,sell,97.32715751724011
96,sell,97.32715751724011
97,sell,97.73118641638068
98,buy,96.90495160445971
99,buy,97.48670598843721
99,buy,97.48670598843721
99,buy,97.48670598843721
99,sell,98.48670598843721
99,buy,97.48670598843721
